accounts-qml-module 0.7-4
mariadb-libs 10.5.10-1
md4c 0.4.8-1
mdadm 4.1-2
media-player-info 24-2
mesa 21.1.3-1
meson 0.58.1-1
microsoft-edge-dev-bin 93.0.910.5-1
minizip 1:1.2.11-4
mkinitcpio 30-1
mkinitcpio-busybox 1.33.1-1
mpfr 4.1.0-2
msgpack-c 3.3.0-2
mtdev 1.1.6-1
ncdu 1.15.1-2
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neovim 0.4.4-2
nerd-fonts-complete 2.1.0-6
net-tools 2.10-1
nettle 3.7.3-1
ninja 1.10.2-1
node-gyp 8.1.0-2
nodejs 16.4.0-1
nodejs-nopt 5.0.0-2
noto-fonts-emoji 20200916-1
npm 7.17.0-1
npth 1.6-3
nspr 4.31-1
nss 3.67-1
ntfs-3g 2017.3.23-5
nyxt 2.1.0-1
okular 21.04.2-1
onefetch 2.9.1-1
oniguruma 6.9.7.1-1
openal 1.21.1-1
opencore-amr 0.1.5-5
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openrazer-daemon 3.0.1-1
openrazer-driver-dkms 3.0.1-1
openrazer-meta 3.0.1-1
openssh 8.6p1-1
openssl 1.1.1.k-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.78-1
p11-kit 0.24.0-1
p7zip 1:17.04-1
pacman 6.0.0-3
pacman-mirrorlist 20210509-1
pahole 1.21-1
pam 1.5.1-1
pambase 20210605-2
pango 1:1.48.5-1
pangomm 2.46.1-2
paper 2.3-2
parted 3.4-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.37-1
peco 0.5.10-1
perl 5.34.0-1
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.06-3
perl-http-date 6.05-4
perl-http-message 6.32-2
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-ipc-run3 0.048-9
perl-libwww 6.55-1
perl-lwp-mediatypes 6.02-9
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
picom 8.2-1
pinentry 1.1.1-1
pipewire 1:0.3.30-2
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
playerctl 2.3.1-1
polkit 0.119-1
polkit-qt5 0.114.0-1
polybar 3.5.6-1
poppler 21.06.1-1
poppler-qt5 21.06.1-1
popt 1.18-1
portaudio 1:19.7.0-1
postgresql-libs 13.3-3
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio 14.2-3
